file,nProperty,variable,variable_construct
COVID01_S.csv,Cm200312,,
COVID01_S.csv,Cm200313,,
COVID01_S.csv,Cm200314,,
COVID01_S.csv,Cm200315,,
COVID01_S.csv,Cm200316,,
COVID01_S.csv,Cm200317,,
COVID01_S.csv,Cm200318,,
COVID01_S.csv,Cm200319,,
COVID01_S.csv,Cm200320,,
COVID01_S.csv,Cm200321,,
COVID01_S.csv,Cm200322,,
COVID01_S.csv,Cm200323,,
COVID01_S.csv,Cm200324,,
COVID01_S.csv,Cm200325,,
COVID01_S.csv,Cm200326,,
COVID01_S.csv,Cm200327,,
COVID01_S.csv,Cm200328,,
COVID01_S.csv,Cm200329,,
COVID01_S.csv,Cm200330,,
COVID01_S.csv,Cm200331,,
COVID01_S.csv,Cm200401,,
COVID01_S.csv,Cm200402,,
COVID01_S.csv,Cm200403,,
COVID01_S.csv,Cm200404,,
COVID01_S.csv,Cm200405,,
COVID01_S.csv,Cm200406,,
COVID01_S.csv,Cm200407,,
COVID01_S.csv,Cm200408,,
COVID01_S.csv,Cm200409,,
COVID01_S.csv,Cm200410,,
COVID01_S.csv,Cm200411,,
COVID01_S.csv,Cm200412,,
COVID01_S.csv,Cm200413,,
COVID01_S.csv,Cm200414,,
COVID01_S.csv,Cm200415,,
COVID01_S.csv,Cm200416,,
COVID01_S.csv,Cm200417,,
COVID01_S.csv,Cm200418,,
COVID01_S.csv,Cm200419,,
COVID01_S.csv,Cm200420,,
COVID01_S.csv,Cm200421,,
COVID01_S.csv,Cm200422,,
COVID01_S.csv,Cm200423,,
COVID01_S.csv,Cm200424,,
COVID01_S.csv,Cm200425,,
COVID01_S.csv,Cm200426,,
COVID01_S.csv,Cm200427,,
COVID01_S.csv,Cm200428,,
COVID01_S.csv,Cm200429,,
COVID01_S.csv,Cm200430,,
COVID01_S.csv,Cm200501,,
COVID01_S.csv,Cm200502,,
COVID01_S.csv,Cm200503,,
COVID01_S.csv,Cm200504,,
COVID01_S.csv,Cm200505,,
COVID01_S.csv,Cm200506,,
COVID01_S.csv,Cm200507,,
COVID01_S.csv,Cm200508,,
COVID01_S.csv,Cm200509,,
COVID01_S.csv,Cm200510,,
COVID01_S.csv,Cm200511,,
COVID01_S.csv,Cm200512,,
COVID01_S.csv,Cm200513,,
COVID01_S.csv,Cm200514,,
COVID01_S.csv,Cm200515,,
COVID01_S.csv,Cm200516,,
COVID01_S.csv,Cm200517,,
COVID01_S.csv,Cm200518,,
COVID01_S.csv,Cm200519,,
COVID01_S.csv,Cm200520,,
COVID01_S.csv,Cm200521,,
COVID01_S.csv,Cm200522,,
COVID01_S.csv,Cm200523,,
COVID01_S.csv,Cm200524,,
COVID01_S.csv,Cm200525,,
COVID01_S.csv,Cm200526,,
COVID01_S.csv,Cm200527,,
COVID01_S.csv,Cm200528,,
COVID01_S.csv,Cm200529,,
COVID01_S.csv,Cm200530,,
COVID01_S.csv,Cm200531,,
COVID01_S.csv,Cm200601,,
COVID01_S.csv,Cm200602,,
COVID01_S.csv,Cm200603,,
COVID01_S.csv,Cm200604,,
COVID01_S.csv,Cm200605,,
COVID01_S.csv,Cm200606,,
COVID01_S.csv,Cm200607,,
COVID01_S.csv,Cm200608,,
COVID01_S.csv,Cm200609,,
COVID01_S.csv,Cm200610,,
COVID01_S.csv,Cm200611,,
COVID01_S.csv,Cm200612,,
COVID01_S.csv,Cm200613,,
COVID01_S.csv,Cm200614,,
COVID01_S.csv,Cm200615,,
COVID01_S.csv,Cm200616,,
COVID01_S.csv,Cm200617,,
COVID01_S.csv,Cm200618,,
COVID01_S.csv,Cm200619,,
COVID01_S.csv,Cm200620,,
COVID01_S.csv,Cm200621,,
COVID01_S.csv,Cm200622,,
COVID01_S.csv,Cm200623,,
COVID01_S.csv,Cm200624,,
COVID01_S.csv,Cm200625,,
COVID01_S.csv,Cm200626,,
COVID01_S.csv,Cm200627,,
COVID01_S.csv,Cm200628,,
COVID01_S.csv,Cm200629,,
COVID01_S.csv,Cm200630,,
COVID01_S.csv,Cm200701,,
COVID01_S.csv,Cm200702,,
COVID01_S.csv,Cm200703,,
COVID01_S.csv,Cm200704,,
COVID01_S.csv,Cm200705,,
COVID01_S.csv,Cm200706,,
COVID01_S.csv,Cm200707,,
COVID01_S.csv,Cm200708,,
COVID01_S.csv,Cm200709,,
COVID01_S.csv,Cm200710,,
COVID01_S.csv,Cm200711,,
COVID01_S.csv,Cm200712,,
COVID01_S.csv,Cm200713,,
COVID01_S.csv,Cm200714,,
COVID01_S.csv,Cm200715,,
COVID01_S.csv,Cm200716,,
COVID01_S.csv,Cm200717,,
COVID01_S.csv,Cm200718,,
COVID01_S.csv,Cm200719,,
COVID01_S.csv,Cm200720,,
COVID01_S.csv,Cm200721,,
COVID01_S.csv,Cm200722,,
COVID01_S.csv,Cm200723,,
COVID01_S.csv,Cm200724,,
COVID01_S.csv,Cm200725,,
COVID01_S.csv,Cm200726,,
COVID01_S.csv,Cm200727,,
COVID01_S.csv,Cm200728,,
COVID01_S.csv,Cm200729,,
COVID01_S.csv,Cm200730,,
COVID01_S.csv,Cm200731,,
COVID01_S.csv,Cm200801,,
COVID01_S.csv,Cm200802,,
COVID01_S.csv,Cm200803,,
COVID01_S.csv,Cm200804,,
COVID01_S.csv,Cm200805,,
COVID01_S.csv,Cm200806,,
COVID01_S.csv,Cm200807,,
COVID01_S.csv,Cm200808,,
COVID01_S.csv,Cm200809,,
COVID01_S.csv,Cm200810,,
COVID01_S.csv,Cm200811,,
COVID01_S.csv,Cm200812,,
COVID01_S.csv,Cm200813,,
COVID01_S.csv,Cm200814,,
COVID01_S.csv,Cm200815,,
COVID01_S.csv,Cm200816,,
COVID01_S.csv,Cm200817,,
COVID01_S.csv,Cm200818,,
COVID01_S.csv,Cm200819,,
COVID01_S.csv,Cm200820,,
COVID01_S.csv,Cm200821,,
COVID01_S.csv,Cm200822,,
COVID01_S.csv,Cm200823,,
COVID01_S.csv,Cm200824,,
COVID01_S.csv,Cm200825,,
COVID01_S.csv,Cm200826,,
COVID01_S.csv,Cm200827,,
COVID01_S.csv,Cm200828,,
COVID01_S.csv,Cm200829,,
COVID01_S.csv,Cm200830,,
COVID01_S.csv,Cm200831,,
COVID01_S.csv,Cm200901,,
COVID01_S.csv,Cm200902,,
COVID01_S.csv,Cm200903,,
COVID01_S.csv,Cm200904,,
COVID01_S.csv,Cm200905,,
COVID01_S.csv,Cm200906,,
COVID01_S.csv,Cm200907,,
COVID01_S.csv,Cm200908,,
COVID01_S.csv,Cm200909,,
COVID01_S.csv,Cm200910,,
COVID01_S.csv,Cm200911,,
COVID01_S.csv,Cm200912,,
COVID01_S.csv,Cm200913,,
COVID01_S.csv,Cm200914,,
COVID01_S.csv,Cm200915,,
COVID01_S.csv,Cm200916,,
COVID01_S.csv,Cm200917,,
COVID01_S.csv,Cm200918,,
COVID01_S.csv,Cm200919,,
COVID01_S.csv,Cm200920,,
COVID01_S.csv,Cm200921,,
COVID01_S.csv,Cm200922,,
COVID01_S.csv,Cm200923,,
COVID01_S.csv,Cm200924,,
COVID01_S.csv,Cm200925,,
COVID01_S.csv,Cm200926,,
COVID01_S.csv,Cm200927,,
COVID01_S.csv,Cm200928,,
COVID01_S.csv,Cm200929,,
COVID01_S.csv,Cm200930,,
COVID01_S.csv,Cm201001,,
COVID01_S.csv,Cm201002,,
COVID01_S.csv,Cm201003,,
COVID01_S.csv,Cm201004,,
COVID01_S.csv,Cm201005,,
COVID01_S.csv,Cm201006,,
COVID01_S.csv,Cm201007,,
COVID01_S.csv,Cm201008,,
COVID01_S.csv,Cm201009,,
COVID01_S.csv,Cm201010,,
COVID01_S.csv,Cm201011,,
COVID01_S.csv,Cm201012,,
COVID01_S.csv,Cm201013,,
COVID01_S.csv,Cm201014,,
COVID01_S.csv,Cm201015,,
COVID01_S.csv,Cm201016,,
COVID01_S.csv,Cm201017,,
COVID01_S.csv,Cm201018,,
COVID01_S.csv,Cm201019,,
COVID01_S.csv,Cm201020,,
COVID01_S.csv,Cm201021,,
COVID01_S.csv,Cm201022,,
COVID01_S.csv,Cm201023,,
COVID01_S.csv,Cm201024,,
COVID01_S.csv,Cm201025,,
COVID01_S.csv,Cm201026,,
COVID01_S.csv,Cm201027,,
COVID01_S.csv,Cm201028,,
COVID01_S.csv,Cm201029,,
COVID01_S.csv,Cm201030,,
COVID01_S.csv,Cm201031,,
COVID01_S.csv,Cm201101,,
COVID01_S.csv,Cm201102,,
COVID01_S.csv,Cm201103,,
COVID01_S.csv,Cm201104,,
COVID01_S.csv,Cm201105,,
COVID01_S.csv,Cm201106,,
COVID01_S.csv,Cm201107,,
COVID01_S.csv,Cm201108,,
COVID01_S.csv,Cm201109,,
COVID01_S.csv,Cm201110,,
COVID01_S.csv,Cm201111,,
COVID01_S.csv,Cm201112,,
COVID01_S.csv,Cm201113,,
COVID01_S.csv,Cm201114,,
COVID01_S.csv,Cm201115,,
COVID01_S.csv,Cm201116,,
COVID01_S.csv,Cm201117,,
COVID01_S.csv,Cm201118,,
COVID01_S.csv,Cm201119,,
COVID01_S.csv,Cm201120,,
COVID01_S.csv,Cm201121,,
COVID01_S.csv,Cm201122,,
COVID01_S.csv,Cm201123,,
COVID01_S.csv,Cm201124,,
COVID01_S.csv,Cm201125,,
COVID01_S.csv,Cm201126,,
COVID01_S.csv,Cm201127,,
COVID01_S.csv,Cm201128,,
COVID01_S.csv,Cm201129,,
COVID01_S.csv,Cm201130,,
COVID01_S.csv,Cm201201,,
COVID01_S.csv,Cm201202,,
COVID01_S.csv,Cm201203,,
COVID01_S.csv,Cm201204,,
COVID01_S.csv,Cm201205,,
COVID01_S.csv,Cm201206,,
COVID01_S.csv,Cm201207,,
COVID01_S.csv,Cm201208,,
COVID01_S.csv,Cm201209,,
COVID01_S.csv,Cm201210,,
COVID01_S.csv,Cm201211,,
COVID01_S.csv,Cm201212,,
COVID01_S.csv,Cm201213,,
COVID01_S.csv,Cm201214,,
COVID01_S.csv,Cm201215,,
COVID01_S.csv,Cm201216,,
COVID01_S.csv,Cm201217,,
COVID01_S.csv,Cm201218,,
COVID01_S.csv,Cm201219,,
COVID01_S.csv,Cm201220,,
COVID01_S.csv,Cm201221,,
COVID01_S.csv,Cm201222,,
COVID01_S.csv,Cm201223,,
COVID01_S.csv,Cm201224,,
COVID01_S.csv,Cm201225,,
COVID01_S.csv,Cm201226,,
COVID01_S.csv,Cm201227,,
COVID01_S.csv,Cm201228,,
COVID01_S.csv,Cm201229,,
COVID01_S.csv,Cm201230,,
COVID01_S.csv,Cm201231,,
COVID01_S.csv,Cm210101,,
COVID01_S.csv,Cm210102,,
COVID01_S.csv,Cm210103,,
COVID01_S.csv,Cm210104,,
COVID01_S.csv,Cm210105,,
COVID01_S.csv,Cm210106,,
COVID01_S.csv,Cm210107,,
COVID01_S.csv,Cm210108,,
COVID01_S.csv,Cm210109,,
COVID01_S.csv,Cm210110,,
COVID01_S.csv,Cm210111,,
COVID01_S.csv,Cm210112,,
COVID01_S.csv,Cm210113,,
COVID01_S.csv,Cm210114,,
COVID01_S.csv,Cm210115,,
COVID01_S.csv,Cm210116,,
COVID01_S.csv,Cm210117,,
COVID01_S.csv,Cm210118,,
COVID01_S.csv,Cm210119,,
COVID01_S.csv,Cm210120,,
COVID01_S.csv,Cm210121,,
COVID01_S.csv,Cm210122,,
COVID01_S.csv,Cm210123,,
COVID01_S.csv,Cm210124,,
COVID01_S.csv,Cm210125,,
COVID01_S.csv,Cm210126,,
COVID01_S.csv,Cm210127,,
COVID01_S.csv,Cm210128,,
COVID01_S.csv,Cm210129,,
COVID01_S.csv,Cm210130,,
COVID01_S.csv,Cm210131,,
COVID01_S.csv,Cm210201,,
COVID01_S.csv,Cm210202,,
COVID01_S.csv,Cm210203,,
COVID01_S.csv,Cm210204,,
COVID01_S.csv,Cm210205,,
COVID01_S.csv,Cm210206,,
COVID01_S.csv,Cm210207,,
COVID01_S.csv,Cm210208,,
COVID01_S.csv,Cm210209,,
COVID01_S.csv,Cm210210,,
COVID01_S.csv,Cm210211,,
COVID01_S.csv,Cm210212,,
COVID01_S.csv,Cm210213,,
COVID01_S.csv,Cm210214,,
COVID01_S.csv,Cm210215,,
COVID01_S.csv,Cm210216,,
COVID01_S.csv,Cm210217,,
COVID01_S.csv,Cm210218,,
COVID01_S.csv,Cm210219,,
COVID01_S.csv,Cm210220,,
COVID01_S.csv,Cm210221,,
COVID01_S.csv,Cm210222,,
COVID01_S.csv,Cm210223,,
COVID01_S.csv,Cm210224,,
COVID01_S.csv,Cm210225,,
COVID01_S.csv,Cm210226,,
COVID01_S.csv,Cm210227,,
COVID01_S.csv,Cm210228,,
COVID01_S.csv,Cm210301,,
COVID01_S.csv,Cm210302,,
COVID01_S.csv,Cm210303,,
COVID02_C.csv,COUNTYFP,,
COVID02_C.csv,population,,
COVID02_C.csv,CmAd200121,,
COVID02_C.csv,CmAd200122,,
COVID02_C.csv,CmAd200123,,
COVID02_C.csv,CmAd200124,,
COVID02_C.csv,CmAd200125,,
COVID02_C.csv,CmAd200126,,
COVID02_C.csv,CmAd200127,,
COVID02_C.csv,CmAd200128,,
COVID02_C.csv,CmAd200129,,
COVID02_C.csv,CmAd200130,,
COVID02_C.csv,CmAd200131,,
COVID02_C.csv,CmAd200201,,
COVID02_C.csv,CmAd200202,,
COVID02_C.csv,CmAd200203,,
COVID02_C.csv,CmAd200204,,
COVID02_C.csv,CmAd200205,,
COVID02_C.csv,CmAd200206,,
COVID02_C.csv,CmAd200207,,
COVID02_C.csv,CmAd200208,,
COVID02_C.csv,CmAd200209,,
COVID02_C.csv,CmAd200210,,
COVID02_C.csv,CmAd200211,,
COVID02_C.csv,CmAd200212,,
COVID02_C.csv,CmAd200213,,
COVID02_C.csv,CmAd200214,,
COVID02_C.csv,CmAd200215,,
COVID02_C.csv,CmAd200216,,
COVID02_C.csv,CmAd200217,,
COVID02_C.csv,CmAd200218,,
COVID02_C.csv,CmAd200219,,
COVID02_C.csv,CmAd200220,,
COVID02_C.csv,CmAd200221,,
COVID02_C.csv,CmAd200222,,
COVID02_C.csv,CmAd200223,,
COVID02_C.csv,CmAd200224,,
COVID02_C.csv,CmAd200225,,
COVID02_C.csv,CmAd200226,,
COVID02_C.csv,CmAd200227,,
COVID02_C.csv,CmAd200228,,
COVID02_C.csv,CmAd200229,,
COVID02_C.csv,CmAd200301,,
COVID02_C.csv,CmAd200302,,
COVID02_C.csv,CmAd200303,,
COVID02_C.csv,CmAd200304,,
COVID02_C.csv,CmAd200305,,
COVID02_C.csv,CmAd200306,,
COVID02_C.csv,CmAd200307,,
COVID02_C.csv,CmAd200308,,
COVID02_C.csv,CmAd200309,,
COVID02_C.csv,CmAd200310,,
COVID02_C.csv,CmAd200311,,
COVID02_C.csv,CmAd200312,,
COVID02_C.csv,CmAd200313,,
COVID02_C.csv,CmAd200314,,
COVID02_C.csv,CmAd200315,,
COVID02_C.csv,CmAd200316,,
COVID02_C.csv,CmAd200317,,
COVID02_C.csv,CmAd200318,,
COVID02_C.csv,CmAd200319,,
COVID02_C.csv,CmAd200320,,
COVID02_C.csv,CmAd200321,,
COVID02_C.csv,CmAd200322,,
COVID02_C.csv,CmAd200323,,
COVID02_C.csv,CmAd200324,,
COVID02_C.csv,CmAd200325,,
COVID02_C.csv,CmAd200326,,
COVID02_C.csv,CmAd200327,,
COVID02_C.csv,CmAd200328,,
COVID02_C.csv,CmAd200329,,
COVID02_C.csv,CmAd200330,,
COVID02_C.csv,CmAd200331,,
COVID02_C.csv,CmAd200401,,
COVID02_C.csv,CmAd200402,,
COVID02_C.csv,CmAd200403,,
COVID02_C.csv,CmAd200404,,
COVID02_C.csv,CmAd200405,,
COVID02_C.csv,CmAd200406,,
COVID02_C.csv,CmAd200407,,
COVID02_C.csv,CmAd200408,,
COVID02_C.csv,CmAd200409,,
COVID02_C.csv,CmAd200410,,
COVID02_C.csv,CmAd200411,,
COVID02_C.csv,CmAd200412,,
COVID02_C.csv,CmAd200413,,
COVID02_C.csv,CmAd200414,,
COVID02_C.csv,CmAd200415,,
COVID02_C.csv,CmAd200416,,
COVID02_C.csv,CmAd200417,,
COVID02_C.csv,CmAd200418,,
COVID02_C.csv,CmAd200419,,
COVID02_C.csv,CmAd200420,,
COVID02_C.csv,CmAd200421,,
COVID02_C.csv,CmAd200422,,
COVID02_C.csv,CmAd200423,,
COVID02_C.csv,CmAd200424,,
COVID02_C.csv,CmAd200425,,
COVID02_C.csv,CmAd200426,,
COVID02_C.csv,CmAd200427,,
COVID02_C.csv,CmAd200428,,
COVID02_C.csv,CmAd200429,,
COVID02_C.csv,CmAd200430,,
COVID02_C.csv,CmAd200501,,
COVID02_C.csv,CmAd200502,,
COVID02_C.csv,CmAd200503,,
COVID02_C.csv,CmAd200504,,
COVID02_C.csv,CmAd200505,,
COVID02_C.csv,CmAd200506,,
COVID02_C.csv,CmAd200507,,
COVID02_C.csv,CmAd200508,,
COVID02_C.csv,CmAd200509,,
COVID02_C.csv,CmAd200510,,
COVID02_C.csv,CmAd200511,,
COVID02_C.csv,CmAd200512,,
COVID02_C.csv,CmAd200513,,
COVID02_C.csv,CmAd200514,,
COVID02_C.csv,CmAd200515,,
COVID02_C.csv,CmAd200516,,
COVID02_C.csv,CmAd200517,,
COVID02_C.csv,CmAd200518,,
COVID02_C.csv,CmAd200519,,
COVID02_C.csv,CmAd200520,,
COVID02_C.csv,CmAd200521,,
COVID02_C.csv,CmAd200522,,
COVID02_C.csv,CmAd200523,,
COVID02_C.csv,CmAd200524,,
COVID02_C.csv,CmAd200525,,
COVID02_C.csv,CmAd200526,,
COVID02_C.csv,CmAd200527,,
COVID02_C.csv,CmAd200528,,
COVID02_C.csv,CmAd200529,,
COVID02_C.csv,CmAd200530,,
COVID02_C.csv,CmAd200531,,
COVID02_C.csv,CmAd200601,,
COVID02_C.csv,CmAd200602,,
COVID02_C.csv,CmAd200603,,
COVID02_C.csv,CmAd200604,,
COVID02_C.csv,CmAd200605,,
COVID02_C.csv,CmAd200606,,
COVID02_C.csv,CmAd200607,,
COVID02_C.csv,CmAd200608,,
COVID02_C.csv,CmAd200609,,
COVID02_C.csv,CmAd200610,,
COVID02_C.csv,CmAd200611,,
COVID02_C.csv,CmAd200612,,
COVID02_C.csv,CmAd200613,,
COVID02_C.csv,CmAd200614,,
COVID02_C.csv,CmAd200615,,
COVID02_C.csv,CmAd200616,,
COVID02_C.csv,CmAd200617,,
COVID02_C.csv,CmAd200618,,
COVID02_C.csv,CmAd200619,,
COVID02_C.csv,CmAd200620,,
COVID02_C.csv,CmAd200621,,
COVID02_C.csv,CmAd200622,,
COVID02_C.csv,CmAd200623,,
COVID02_C.csv,CmAd200624,,
COVID02_C.csv,CmAd200625,,
COVID02_C.csv,CmAd200626,,
COVID02_C.csv,CmAd200627,,
COVID02_C.csv,CmAd200628,,
COVID02_C.csv,CmAd200629,,
COVID02_C.csv,CmAd200630,,
COVID02_C.csv,CmAd200701,,
COVID02_C.csv,CmAd200702,,
COVID02_C.csv,CmAd200703,,
COVID02_C.csv,CmAd200704,,
COVID02_C.csv,CmAd200705,,
COVID02_C.csv,CmAd200706,,
COVID02_C.csv,CmAd200707,,
COVID02_C.csv,CmAd200708,,
COVID02_C.csv,CmAd200709,,
COVID02_C.csv,CmAd200710,,
COVID02_C.csv,CmAd200711,,
COVID02_C.csv,CmAd200712,,
COVID02_C.csv,CmAd200713,,
COVID02_C.csv,CmAd200714,,
COVID02_C.csv,CmAd200715,,
COVID02_C.csv,CmAd200716,,
COVID02_C.csv,CmAd200717,,
COVID02_C.csv,CmAd200718,,
COVID02_C.csv,CmAd200719,,
COVID02_C.csv,CmAd200720,,
COVID02_C.csv,CmAd200721,,
COVID02_C.csv,CmAd200722,,
COVID02_C.csv,CmAd200723,,
COVID02_C.csv,CmAd200724,,
COVID02_C.csv,CmAd200725,,
COVID02_C.csv,CmAd200726,,
COVID02_C.csv,CmAd200727,,
COVID02_C.csv,CmAd200728,,
COVID02_C.csv,CmAd200729,,
COVID02_C.csv,CmAd200730,,
COVID02_C.csv,CmAd200731,,
COVID02_C.csv,CmAd200801,,
COVID02_C.csv,CmAd200802,,
COVID02_C.csv,CmAd200803,,
COVID02_C.csv,CmAd200804,,
COVID02_C.csv,CmAd200805,,
COVID02_C.csv,CmAd200806,,
COVID02_C.csv,CmAd200807,,
COVID02_C.csv,CmAd200808,,
COVID02_C.csv,CmAd200809,,
COVID02_C.csv,CmAd200810,,
COVID02_C.csv,CmAd200811,,
COVID02_C.csv,CmAd200812,,
COVID02_C.csv,CmAd200813,,
COVID02_C.csv,CmAd200814,,
COVID02_C.csv,CmAd200815,,
COVID02_C.csv,CmAd200816,,
COVID02_C.csv,CmAd200817,,
COVID02_C.csv,CmAd200818,,
COVID02_C.csv,CmAd200819,,
COVID02_C.csv,CmAd200820,,
COVID02_C.csv,CmAd200821,,
COVID02_C.csv,CmAd200822,,
COVID02_C.csv,CmAd200823,,
COVID02_C.csv,CmAd200824,,
COVID02_C.csv,CmAd200825,,
COVID02_C.csv,CmAd200826,,
COVID02_C.csv,CmAd200827,,
COVID02_C.csv,CmAd200828,,
COVID02_C.csv,CmAd200829,,
COVID02_C.csv,CmAd200830,,
COVID02_C.csv,CmAd200831,,
COVID02_C.csv,CmAd200901,,
COVID02_C.csv,CmAd200902,,
COVID02_C.csv,CmAd200903,,
COVID02_C.csv,CmAd200904,,
COVID02_C.csv,CmAd200905,,
COVID02_C.csv,CmAd200906,,
COVID02_C.csv,CmAd200907,,
COVID02_C.csv,CmAd200908,,
COVID02_C.csv,CmAd200909,,
COVID02_C.csv,CmAd200910,,
COVID02_C.csv,CmAd200911,,
COVID02_C.csv,CmAd200912,,
COVID02_C.csv,CmAd200913,,
COVID02_C.csv,CmAd200914,,
COVID02_C.csv,CmAd200915,,
COVID02_C.csv,CmAd200916,,
COVID02_C.csv,CmAd200917,,
COVID02_C.csv,CmAd200918,,
COVID02_C.csv,CmAd200919,,
COVID02_C.csv,CmAd200920,,
COVID02_C.csv,CmAd200921,,
COVID02_C.csv,CmAd200922,,
COVID02_C.csv,CmAd200923,,
COVID02_C.csv,CmAd200924,,
COVID02_C.csv,CmAd200925,,
COVID02_C.csv,CmAd200926,,
COVID02_C.csv,CmAd200927,,
COVID02_C.csv,CmAd200928,,
COVID02_C.csv,CmAd200929,,
COVID02_C.csv,CmAd200930,,
COVID02_C.csv,CmAd201001,,
COVID02_C.csv,CmAd201002,,
COVID02_C.csv,CmAd201003,,
COVID02_C.csv,CmAd201004,,
COVID02_C.csv,CmAd201005,,
COVID02_C.csv,CmAd201006,,
COVID02_C.csv,CmAd201007,,
COVID02_C.csv,CmAd201008,,
COVID02_C.csv,CmAd201009,,
COVID02_C.csv,CmAd201010,,
COVID02_C.csv,CmAd201011,,
COVID02_C.csv,CmAd201012,,
COVID02_C.csv,CmAd201013,,
COVID02_C.csv,CmAd201014,,
COVID02_C.csv,CmAd201015,,
COVID02_C.csv,CmAd201016,,
COVID02_C.csv,CmAd201017,,
COVID02_C.csv,CmAd201018,,
COVID02_C.csv,CmAd201019,,
COVID02_C.csv,CmAd201020,,
COVID02_C.csv,CmAd201021,,
COVID02_C.csv,CmAd201022,,
COVID02_C.csv,CmAd201023,,
COVID02_C.csv,CmAd201024,,
COVID02_C.csv,CmAd201025,,
COVID02_C.csv,CmAd201026,,
COVID02_C.csv,CmAd201027,,
COVID02_C.csv,CmAd201028,,
COVID02_C.csv,CmAd201029,,
COVID02_C.csv,CmAd201030,,
COVID02_C.csv,CmAd201031,,
COVID02_C.csv,CmAd201101,,
COVID02_C.csv,CmAd201102,,
COVID02_C.csv,CmAd201103,,
COVID02_C.csv,CmAd201104,,
COVID02_C.csv,CmAd201105,,
COVID02_C.csv,CmAd201106,,
COVID02_C.csv,CmAd201107,,
COVID02_C.csv,CmAd201108,,
COVID02_C.csv,CmAd201109,,
COVID02_C.csv,CmAd201110,,
COVID02_C.csv,CmAd201111,,
COVID02_C.csv,CmAd201112,,
COVID02_C.csv,CmAd201113,,
COVID02_C.csv,CmAd201114,,
COVID02_C.csv,CmAd201115,,
COVID02_C.csv,CmAd201116,,
COVID02_C.csv,CmAd201117,,
COVID02_C.csv,CmAd201118,,
COVID02_C.csv,CmAd201119,,
COVID02_C.csv,CmAd201120,,
COVID02_C.csv,CmAd201121,,
COVID02_C.csv,CmAd201122,,
COVID02_C.csv,CmAd201123,,
COVID02_C.csv,CmAd201124,,
COVID02_C.csv,CmAd201125,,
COVID02_C.csv,CmAd201126,,
COVID02_C.csv,CmAd201127,,
COVID02_C.csv,CmAd201128,,
COVID02_C.csv,CmAd201129,,
COVID02_C.csv,CmAd201130,,
COVID02_C.csv,CmAd201201,,
COVID02_C.csv,CmAd201202,,
COVID02_C.csv,CmAd201203,,
COVID02_C.csv,CmAd201204,,
COVID02_C.csv,CmAd201205,,
COVID02_C.csv,CmAd201206,,
COVID02_C.csv,CmAd201207,,
COVID02_C.csv,CmAd201208,,
COVID02_C.csv,CmAd201209,,
COVID02_C.csv,CmAd201210,,
COVID02_C.csv,CmAd201211,,
COVID02_C.csv,CmAd201212,,
COVID02_C.csv,CmAd201213,,
COVID02_C.csv,CmAd201214,,
COVID02_C.csv,CmAd201215,,
COVID02_C.csv,CmAd201216,,
COVID02_C.csv,CmAd201217,,
COVID02_C.csv,CmAd201218,,
COVID02_C.csv,CmAd201219,,
COVID02_C.csv,CmAd201220,,
COVID02_C.csv,CmAd201221,,
COVID02_C.csv,CmAd201222,,
COVID02_C.csv,CmAd201223,,
COVID02_C.csv,CmAd201224,,
COVID02_C.csv,CmAd201225,,
COVID02_C.csv,CmAd201226,,
COVID02_C.csv,CmAd201227,,
COVID02_C.csv,CmAd201228,,
COVID02_C.csv,CmAd201229,,
COVID02_C.csv,CmAd201230,,
COVID02_C.csv,CmAd201231,,
COVID02_C.csv,CmAd210101,,
COVID02_C.csv,CmAd210102,,
COVID02_C.csv,CmAd210103,,
COVID02_C.csv,CmAd210104,,
COVID02_C.csv,CmAd210105,,
COVID02_C.csv,CmAd210106,,
COVID02_C.csv,CmAd210107,,
COVID02_C.csv,CmAd210108,,
COVID02_C.csv,CmAd210109,,
COVID02_C.csv,CmAd210110,,
COVID02_C.csv,CmAd210111,,
COVID02_C.csv,CmAd210112,,
COVID02_C.csv,CmAd210113,,
COVID02_C.csv,CmAd210114,,
COVID02_C.csv,CmAd210115,,
COVID02_C.csv,CmAd210116,,
COVID02_C.csv,CmAd210117,,
COVID02_C.csv,CmAd210118,,
COVID02_C.csv,CmAd210119,,
COVID02_C.csv,CmAd210120,,
COVID02_C.csv,CmAd210121,,
COVID02_C.csv,CmAd210122,,
COVID02_C.csv,CmAd210123,,
COVID02_C.csv,CmAd210124,,
COVID02_C.csv,CmAd210125,,
COVID02_C.csv,CmAd210126,,
COVID02_C.csv,CmAd210127,,
COVID02_C.csv,CmAd210128,,
COVID02_C.csv,CmAd210129,,
COVID02_C.csv,CmAd210130,,
COVID02_C.csv,CmAd210131,,
COVID02_C.csv,CmAd210201,,
COVID02_C.csv,CmAd210202,,
COVID02_C.csv,CmAd210203,,
COVID02_C.csv,CmAd210204,,
COVID02_C.csv,CmAd210205,,
COVID02_C.csv,CmAd210206,,
COVID02_C.csv,CmAd210207,,
COVID02_C.csv,CmAd210208,,
COVID02_C.csv,CmAd210209,,
COVID02_C.csv,CmAd210210,,
COVID02_C.csv,CmAd210211,,
COVID02_C.csv,CmAd210212,,
COVID02_C.csv,CmAd210213,,
COVID02_C.csv,CmAd210214,,
COVID02_C.csv,CmAd210215,,
COVID02_C.csv,CmAd210216,,
COVID02_C.csv,CmAd210217,,
COVID02_C.csv,CmAd210218,,
COVID02_C.csv,CmAd210219,,
